slug,action,priority,eligibility,official_url,notes
acer-aspire-5,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
acer-nitro-16,official_research_applied,A,READY_FAMILY_LEVEL,https://www.acer.com/us-en/laptops/nitro/nitro-16-amd/pdp/NH.QLJAA.001,Verified from Acer.com Nitro 16 AN16-41 PDPs (multiple SKUs). RTX 4080 not present on sampled official AN16-41 pages — treat content claims of RTX 4080 as conflict candidates until another official machine type is verified.
acer-nitro-17,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
acer-nitro-v,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
acer-predator-helios,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
acer-predator-neo,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
acer-predator-triton,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
alienware-m15-r7-r8,deferred_unverified,B,UNVERIFIED,,No official source captured in this foundation pass
alienware-m16,deferred_unverified,B,UNVERIFIED,,No official source captured in this foundation pass
alienware-m18,deferred_unverified,B,UNVERIFIED,,No official source captured in this foundation pass
asus-rog-ally-x,official_research_applied,A,READY_HIGH_CONFIDENCE,https://rog.asus.com/us/gaming-handhelds/rog-ally/rog-ally-x-2024/spec/,Official ROG Ally X (2024) RC72LA spec page. Narrow config surface (storage variants) — high confidence for resale enrichment.
asus-rog-flow,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
asus-rog-strix,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
asus-tuf-a15-f15,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
asus-zephyrus-g14,official_research_applied,A,READY_FAMILY_LEVEL,https://rog.asus.com/laptops/rog-zephyrus/rog-zephyrus-g14-2024/spec/,Official ROG pages show multiple years (2022–2024) under G14 marketing name. Do not treat as Exact SKU.
asus-zephyrus-g16,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
dell-g15-g16,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
dell-inspiron-15,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
dell-xps-13-15,official_research_applied,A,AMBIGUOUS_MODEL,https://www.dell.com/en-us/shop/dell-laptops/xps-13-laptop-2024/spd/xps-13-9350-intel-laptop,"Repository slug merges XPS 13 and XPS 15 across many generations/processors (Intel Core Ultra, Snapdragon X, older XPS 15 discrete GPU gens). Ambiguous — do not enrich with a single CPU/GPU claim."
hp-envy-x360,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
hp-omen-16,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
hp-omen-17,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
hp-omen-transcend,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
hp-spectre-x360,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
hp-victus-15,official_research_applied,A,READY_FAMILY_LEVEL,https://kaas.hpcloud.hp.com/pdf-public/pdf_11551834_en-US-1.pdf,Verified from official HP Maintenance and Service Guides (family-level). Exact SKU still required for a single config claim.
hp-victus-16,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
hp-victus-17,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
lenovo-ideapad-3-5,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
lenovo-legion-5,official_research_applied,A,READY_FAMILY_LEVEL,https://psref.lenovo.com/,Legion 5 is a multi-generation family on Lenovo PSREF (many machine types). Site slug is family-level. Exact SKU research required per unit (e.g. 15ACH6 / 15IRX9 / 15AKP10).
lenovo-legion-pro-7,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
lenovo-legion-pro,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
lenovo-legion-slim,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
lenovo-loq-15-16,deferred_unverified,B,UNVERIFIED,,No official source captured in this foundation pass
macbook-air-13,official_research_applied,A,AMBIGUOUS_MODEL,https://support.apple.com/en-us/102869,URL is size-based marketing page spanning M1–M5 generations. Not an Exact SKU. Require chip generation from About This Mac before enrichment.
macbook-air-15,official_research_applied,A,AMBIGUOUS_MODEL,https://support.apple.com/en-us/102869,Size page spanning M2/M3/M4/M5 15-inch Air. Ambiguous without chip generation.
macbook-air-m1,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-us/102869,Identity confirmed via Apple identify-your-Mac; detailed numeric fields kept conservative.
