URL,Current score,Clicks,Impressions,Position,GSC date range,Intent,Supporting money page,Content gap,Enrichment priority,Action,Word count
/blog/รับซื้อ-dell-inspiron-latitude-xps-ราคาเท่าไหร่/,68,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,80
/blog/รับซื้อ-surface-laptop-go-book-pro-ราคาเท่าไหร่/,68,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,85
/blog/รับซื้อ-lenovo-ideapad-yoga-ราคาเท่าไหร่/,68,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,87
/blog/macbook-ไม่มีที่ชาร์จ-ขายได้ไหม/,68,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,88
/blog/รับซื้อ-macbook-pro-14-16-ราคาเท่าไหร่/,68,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,103
/blog/รับซื้อ-macbook-air-13-15-ราคาเท่าไหร่/,68,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,104
/blog/รับซื้อ-hp-pavilion-envy-elitebook-probook-ราคาเท่าไหร่/,70,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,95
/blog/รับซื้อ-macbook-pro-m2-ราคาเท่าไหร่/,70,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,defer_unless_capacity,208
/blog/รับซื้อ-macbook-air-m4-ราคาเท่าไหร่/,70,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,defer_unless_capacity,232
/blog/รับซื้อ-macbook-air-m3-ราคาเท่าไหร่/,70,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,defer_unless_capacity,237
/blog/รับซื้อ-samsung-galaxy-book-ราคาเท่าไหร่/,72,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,76
/blog/macbook-จอร้าว-ขายได้ไหม/,72,,,,,informational,/เช็คราคาโน๊ตบุ๊ค/|/ตีราคาโน๊ตบุ๊ค/,thin_body,B,enrich,82
