URL,Type,Title,H1,Canonical,Word count,Quality score,Internal inbound links,Sitemap status,Content hash,Last content modification,Main entity,Search intent,Source
/,Homepage,รับซื้อโน๊ตบุ๊ค ประเมินตามรุ่น สเปก และสภาพจริง | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อโน๊ตบุ๊ค ประเมินตามรุ่น สเปก และสภาพจริง,https://ร้านรับซื้อโน๊ตบุ๊ค.com/,1033,88,TBD,indexable,819439528fcbf957,2026-08-08T02:50:35.743Z,Core transactional รับซื้อโน๊ตบุ๊ค,Core transactional รับซื้อโน๊ตบุ๊ค,src/pages/index.astro
/รับซื้อ-notebook/,Notebook-English,รับซื้อ Notebook คืออะไร แยกประเภทเครื่องก่อนส่งประเมิน | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อ Notebook,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อ-notebook/,1184,88,TBD,indexable,8acde55ef1069db3,2026-08-08T02:50:35.746Z,English spelling notebook service,English spelling notebook service,src/pages/รับซื้อ-notebook.astro
/รับซื้อโน๊ตบุ๊คมือสอง/,Second-hand,รับซื้อโน๊ตบุ๊คมือสอง อายุการใช้งาน สภาพ และอุปกรณ์ | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อโน๊ตบุ๊คมือสอง,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊คมือสอง/,1081,88,TBD,indexable,f92002f215907122,2026-08-08T02:50:35.749Z,Used notebook resale,Used notebook resale,src/pages/รับซื้อโน๊ตบุ๊คมือสอง.astro
/รับซื้อโน๊ตบุ๊คบริษัท/,Secondary service,รับซื้อโน๊ตบุ๊คบริษัท โละเครื่ององค์กร ประเมินตามสเปก | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อโน๊ตบุ๊คบริษัท,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊คบริษัท/,3921,85,TBD,indexable,29507af2b372b57e,2026-07-29T16:11:18.967Z,Corporate / bulk sell,Corporate / bulk sell,src/pages/รับซื้อโน๊ตบุ๊คบริษัท.astro
/เช็คราคาโน๊ตบุ๊ค/,Price/valuation,เช็คราคาโน๊ตบุ๊ค รู้กรอบราคาก่อนตัดสินใจขาย | ร้านรับซื้อโน๊ตบุ๊ค.com,เช็คราคาโน๊ตบุ๊ค,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊ค/,891,88,TBD,indexable,e88d6fcf2b02b043,2026-08-08T02:50:35.754Z,Check price before selling,Check price before selling,src/pages/เช็คราคาโน๊ตบุ๊ค.astro
/เช็คราคาโน๊ตบุ๊คมือสอง/,Price/valuation,เช็คราคาโน๊ตบุ๊คมือสอง ประเมินฟรี แจ้งราคาก่อนขาย | ร้านรับซื้อโน๊ตบุ๊ค.com,เช็คราคาโน๊ตบุ๊คมือสอง,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊คมือสอง/,4456,85,TBD,indexable,e55197472b25d332,2026-07-01T15:14:23.699Z,Used price check,Used price check,src/pages/เช็คราคาโน๊ตบุ๊คมือสอง.astro
/ตีราคาโน๊ตบุ๊ค/,Price/valuation,ตีราคาโน๊ตบุ๊ค วิธีประเมินจากสเปกและจุดตรวจสภาพ | ร้านรับซื้อโน๊ตบุ๊ค.com,ตีราคาโน๊ตบุ๊ค วิธีประเมินจากสเปกและจุดตรวจสภาพ | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ตีราคาโน๊ตบุ๊ค/,1811,88,TBD,indexable,911d815370b63ca0,2026-08-08T02:50:35.745Z,Valuation methodology,Valuation methodology,src/pages/ตีราคาโน๊ตบุ๊ค.astro
/ขายโน๊ตบุ๊ค/,Secondary service,ขายโน๊ตบุ๊ค คู่มือเตรียมเครื่องก่อนส่งมอบ | ร้านรับซื้อโน๊ตบุ๊ค.com,ขายโน๊ตบุ๊ค,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ขายโน๊ตบุ๊ค/,897,88,TBD,indexable,7ecfb05ad04eb62a,2026-08-08T02:50:35.745Z,Seller preparation guide,Seller preparation guide,src/pages/ขายโน๊ตบุ๊ค.astro
/ขายโน๊ตบุ๊คด่วน/,Secondary service,ขายโน๊ตบุ๊คด่วน รู้ขั้นตอนและเงื่อนไขก่อนตัดสินใจ | ร้านรับซื้อโน๊ตบุ๊ค.com,ขายโน๊ตบุ๊คด่วน รู้ขั้นตอนและเงื่อนไขก่อนตัดสินใจ | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ขายโน๊ตบุ๊คด่วน/,1992,85,TBD,indexable,cf6983a7610f1e32,2026-07-01T15:20:09.213Z,Fast sell flow,Fast sell flow,src/pages/ขายโน๊ตบุ๊คด่วน.astro
/วิธีขายโน๊ตบุ๊ค/,Guide,วิธีขายโน๊ตบุ๊คมือสองให้ได้ราคาดีและปลอดภัย | ร้านรับซื้อโน๊ตบุ๊ค.com,ลิงก์ที่ช่วยต่อยอด,https://ร้านรับซื้อโน๊ตบุ๊ค.com/วิธีขายโน๊ตบุ๊ค/,4116,85,TBD,indexable,96f42036b5b78c3d,2026-08-08T01:33:02.293Z,How to sell guide,How to sell guide,src/pages/วิธีขายโน๊ตบุ๊ค/index.astro
