URL,Page type,Source file/data source,Current title,Current H1,Word count,Indexable,Canonical,Internal inbound links,Content template,Similarity risk,Search intent,Quality status,Priority
/,Homepage,src/pages/index.astro,รับซื้อโน๊ตบุ๊ค ประเมินตามรุ่น สเปก และสภาพจริง | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อโน๊ตบุ๊ค ประเมินตามรุ่น สเปก และสภาพจริง,1033,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/,TBD,custom,Low,Core transactional รับซื้อโน๊ตบุ๊ค,Strong,1
/รับซื้อ-notebook/,Notebook-English,src/pages/รับซื้อ-notebook.astro,รับซื้อ Notebook คืออะไร แยกประเภทเครื่องก่อนส่งประเมิน | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อ Notebook,1184,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อ-notebook/,TBD,custom,Low,English spelling notebook service,Strong,1
/รับซื้อโน๊ตบุ๊คมือสอง/,Second-hand,src/pages/รับซื้อโน๊ตบุ๊คมือสอง.astro,รับซื้อโน๊ตบุ๊คมือสอง อายุการใช้งาน สภาพ และอุปกรณ์ | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อโน๊ตบุ๊คมือสอง,1081,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊คมือสอง/,TBD,custom,Low,Used notebook resale,Strong,1
/รับซื้อโน๊ตบุ๊คบริษัท/,Secondary service,src/pages/รับซื้อโน๊ตบุ๊คบริษัท.astro,รับซื้อโน๊ตบุ๊คบริษัท โละเครื่ององค์กร ประเมินตามสเปก | ร้านรับซื้อโน๊ตบุ๊ค.com,รับซื้อโน๊ตบุ๊คบริษัท,3921,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊คบริษัท/,TBD,ServicePageShell,Low,Corporate / bulk sell,Strong,1
/เช็คราคาโน๊ตบุ๊ค/,Price/valuation,src/pages/เช็คราคาโน๊ตบุ๊ค.astro,เช็คราคาโน๊ตบุ๊ค รู้กรอบราคาก่อนตัดสินใจขาย | ร้านรับซื้อโน๊ตบุ๊ค.com,เช็คราคาโน๊ตบุ๊ค,891,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊ค/,TBD,ServicePageShell,Low,Check price before selling,Strong,1
/เช็คราคาโน๊ตบุ๊คมือสอง/,Price/valuation,src/pages/เช็คราคาโน๊ตบุ๊คมือสอง.astro,เช็คราคาโน๊ตบุ๊คมือสอง ประเมินฟรี แจ้งราคาก่อนขาย | ร้านรับซื้อโน๊ตบุ๊ค.com,เช็คราคาโน๊ตบุ๊คมือสอง,4456,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊คมือสอง/,TBD,ServicePageShell,Low,Used price check,Strong,1
/ตีราคาโน๊ตบุ๊ค/,Price/valuation,src/pages/ตีราคาโน๊ตบุ๊ค.astro,ตีราคาโน๊ตบุ๊ค วิธีประเมินจากสเปกและจุดตรวจสภาพ | ร้านรับซื้อโน๊ตบุ๊ค.com,ตีราคาโน๊ตบุ๊ค วิธีประเมินจากสเปกและจุดตรวจสภาพ | ร้านรับซื้อโน๊ตบุ๊ค.com,1811,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ตีราคาโน๊ตบุ๊ค/,TBD,ServicePageShell,Low,Valuation methodology,Strong,1
/ขายโน๊ตบุ๊ค/,Secondary service,src/pages/ขายโน๊ตบุ๊ค.astro,ขายโน๊ตบุ๊ค คู่มือเตรียมเครื่องก่อนส่งมอบ | ร้านรับซื้อโน๊ตบุ๊ค.com,ขายโน๊ตบุ๊ค,897,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ขายโน๊ตบุ๊ค/,TBD,ServicePageShell,Low,Seller preparation guide,Strong,1
/ขายโน๊ตบุ๊คด่วน/,Secondary service,src/pages/ขายโน๊ตบุ๊คด่วน.astro,ขายโน๊ตบุ๊คด่วน รู้ขั้นตอนและเงื่อนไขก่อนตัดสินใจ | ร้านรับซื้อโน๊ตบุ๊ค.com,ขายโน๊ตบุ๊คด่วน รู้ขั้นตอนและเงื่อนไขก่อนตัดสินใจ | ร้านรับซื้อโน๊ตบุ๊ค.com,1992,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ขายโน๊ตบุ๊คด่วน/,TBD,ServicePageShell,Low,Fast sell flow,Good,2
/วิธีขายโน๊ตบุ๊ค/,Guide,src/pages/วิธีขายโน๊ตบุ๊ค/index.astro,วิธีขายโน๊ตบุ๊คมือสองให้ได้ราคาดีและปลอดภัย | ร้านรับซื้อโน๊ตบุ๊ค.com,ลิงก์ที่ช่วยต่อยอด,4116,yes,https://ร้านรับซื้อโน๊ตบุ๊ค.com/วิธีขายโน๊ตบุ๊ค/,TBD,custom,Low,How to sell guide,Strong,2
