URL,slug,conflict_type,detail,severity
/รับซื้อโน๊ตบุ๊ค/acer-aspire-5/,acer-aspire-5,NO_CONFLICT,No discrete GPU token in repository mentions,none
/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,acer-nitro-16,CONFIRMED_CONFLICT,Repo GPU tokens RTX 4080 not present in verified gpuOptions [NVIDIA GeForce RTX 4050 Laptop GPU; NVIDIA GeForce RTX 4060 Laptop GPU; NVIDIA GeForce RTX 4070 Laptop GPU],P1
/รับซื้อโน๊ตบุ๊ค/acer-nitro-17/,acer-nitro-17,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 4050,RTX 4060,RTX 4050,RTX 4060; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,acer-nitro-v,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 2050,RTX 3050,RTX 4050,RTX 4060; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/acer-predator-helios/,acer-predator-helios,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 4070,RTX 4070; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,acer-predator-neo,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 4050,RTX 4060,RTX 4070,RTX 4080; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/acer-predator-triton/,acer-predator-triton,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 4070,RTX 4070; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/alienware-m15-r7-r8/,alienware-m15-r7-r8,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 3060,RTX 3070,RTX 4060,RTX 3070,RTX 4070,RTX 3060,RTX 3070,RTX 4060; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/alienware-m16/,alienware-m16,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 4060,RTX 4070,RTX 4080,RTX 4060,RTX 4070,RTX 4080; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/alienware-m18/,alienware-m18,INSUFFICIENT_EVIDENCE,"Repo mentions RTX 4070,RTX 4080,RTX 4090,RTX 4070,RTX 4080,RTX 4090; official GPU options not verified yet",monitor
/รับซื้อโน๊ตบุ๊ค/asus-rog-ally-x/,asus-rog-ally-x,NO_CONFLICT,No discrete GPU token in repository mentions,none
/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,asus-rog-flow,NO_CONFLICT,No discrete GPU token in repository mentions,none
