URL,Type,Source,QA result,Natural language,Intent,Unique value,Local accuracy,Entity accuracy,CTA,Internal links,Notes
/,Homepage,src/pages/index.astro,PASS,natural_thai_ok,clear,adequate_depth,accurate,accurate,present,present(astro),spot-check ok
/รับซื้อ-notebook/,Notebook-English,src/pages/รับซื้อ-notebook.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/รับซื้อโน๊ตบุ๊คมือสอง/,Second-hand,src/pages/รับซื้อโน๊ตบุ๊คมือสอง.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/รับซื้อโน๊ตบุ๊คบริษัท/,Secondary service,src/pages/รับซื้อโน๊ตบุ๊คบริษัท.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/เช็คราคาโน๊ตบุ๊ค/,Price/valuation,src/pages/เช็คราคาโน๊ตบุ๊ค.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/เช็คราคาโน๊ตบุ๊คมือสอง/,Price/valuation,src/pages/เช็คราคาโน๊ตบุ๊คมือสอง.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/ตีราคาโน๊ตบุ๊ค/,Price/valuation,src/pages/ตีราคาโน๊ตบุ๊ค.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/ขายโน๊ตบุ๊ค/,Secondary service,src/pages/ขายโน๊ตบุ๊ค.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/ขายโน๊ตบุ๊คด่วน/,Secondary service,src/pages/ขายโน๊ตบุ๊คด่วน.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/วิธีขายโน๊ตบุ๊ค/,Guide,src/pages/วิธีขายโน๊ตบุ๊ค/index.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/รับเหมาโน๊ตบุ๊ค/,Secondary service,src/pages/รับเหมาโน๊ตบุ๊ค.astro,PASS,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,present(astro),spot-check ok
/รับเหมาคอมพิวเตอร์/,Secondary service,src/pages/รับเหมาคอมพิวเตอร์.astro,PASS_WITH_WARNING,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,weak,internal_links_weak
/รับประมูลคอม/,Secondary service,src/pages/รับประมูลคอม.astro,PASS_WITH_WARNING,natural_thai_ok,clear,adequate_depth,n/a,accurate,present,weak,internal_links_weak
/รับซื้อโน๊ตบุ๊ค/acer/,Brand,src/content/brands/acer.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ Acer ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ Acer ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(14),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus/,Brand,src/content/brands/asus.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ Asus ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ Asus ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(14),spot-check ok
/รับซื้อโน๊ตบุ๊ค/dell/,Brand,src/content/brands/dell.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ Dell ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ Dell ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(10),spot-check ok
