URL,Primary intent,Secondary intent,Main query theme,Unique sections,Overlap risk
/,Transactional core buy service,Trust + FAQ + brand discovery,รับซื้อโน๊ตบุ๊ค,Hero transactional CTA; process; brand/condition grids; home FAQs (เก่าหลายปี/ไม่มีประกัน); storefront Ubon note,Low — hub that links out; not a single-keyword clone
/รับซื้อ-notebook/,English-spelling service explainer,Type/segment education before quote,รับซื้อ Notebook,Notebook vs โน๊ตบุ๊ค; machine type groups; example model links; when to go home vs เช็คราคา,Low–Medium vs homepage (explicit EN spelling + type taxonomy)
/รับซื้อโน๊ตบุ๊คมือสอง/,Used-device buyout,Wear/age/accessory price factors,รับซื้อโน๊ตบุ๊คมือสอง,Used machine groups; what lowers used price; age vs usable spec; accessory completeness,Low vs /รับซื้อ-notebook/ and homepage (used-wear focus)
/เช็คราคาโน๊ตบุ๊ค/,Pre-sale price check / quote request,Decide whether to sell,เช็คราคาโน๊ตบุ๊ค,เบื้องต้น vs ราคาสุดท้าย; checklist to send; sample LINE messages; next steps after quote,Medium vs /ตีราคาโน๊ตบุ๊ค/ mitigated by checklist+decision framing (not methodology)
/เช็คราคาโน๊ตบุ๊คมือสอง/,Used-specific price check,Used wear/condition quote nuance,เช็คราคาโน๊ตบุ๊คมือสอง,Used checklist; wear/battery/accessory emphasis; FAQs distinguishing from general เช็คราคา,Medium vs /เช็คราคาโน๊ตบุ๊ค/ and /รับซื้อโน๊ตบุ๊คมือสอง/ — keep used-quote framing
/ตีราคาโน๊ตบุ๊ค/,Valuation methodology,Inspector checklist education,ตีราคาโน๊ตบุ๊ค,ลำดับการตีราคา; weight of screen/battery/hinge/ports; not just a quote CTA page,Medium vs /เช็คราคาโน๊ตบุ๊ค/ mitigated (method vs get-a-number)
/ขายโน๊ตบุ๊ค/,Seller preparation guide,Data wipe / handoff readiness,ขายโน๊ตบุ๊ค,Backup/sign-out/reset checklist; what to bring; asset-tag note; links to quote pages,Low vs quote/buy pages (prep-only)
/ขายโน๊ตบุ๊คด่วน/,Fast-sell flow + conditions,Speed with clear constraints,ขายโน๊ตบุ๊คด่วน,Fast steps; what must be ready; no fake same-day guarantee; condition disclosure,Medium vs /ขายโน๊ตบุ๊ค/ and /วิธีขายโน๊ตบุ๊ค/ — speed/conditions angle
/รับซื้อโน๊ตบุ๊คบริษัท/,B2B / corporate buyout,Bulk MDM/asset-tag workflow,รับซื้อโน๊ตบุ๊คบริษัท,Multi-unit lists; MDM/asset tag; docs/tax ask; IT wipe; onsite scheduling caveats,Low (B2B unique)
/วิธีขายโน๊ตบุ๊ค/,How-to sell education,Safety + step sequence,วิธีขายโน๊ตบุ๊ค,HowTo steps; photo/spec/condition; LINE quote; wipe; handoff; educational FAQs,Medium vs /ขายโน๊ตบุ๊ค/ mitigated (full how-to + schema vs prep checklist)
